profile_id,primary_sales_product_type,first_booking_time,first_issued_time,last_booking_time,last_issued_time,avg_booking_invoice_amount_idr,avg_issued_invoice_amount_idr,count_booking,count_issued
5283690,FLIGHT,1970-01-01 00:23:48.753475247,1970-01-01 00:23:50.567796832,1970-01-01 00:23:50.567484097,1970-01-01 00:23:50.567796832,2765592.0,1552960.0,2,1
11393160,HOTEL,1970-01-01 00:24:31.016380774,1970-01-01 00:24:31.017015970,1970-01-01 00:25:39.406702337,1970-01-01 00:25:39.406813830,288426.4,297704.0,5,4
4267502,HOTEL,1970-01-01 00:23:36.795957837,1970-01-01 00:23:37.586550751,1970-01-01 00:25:39.965338972,1970-01-01 00:25:39.966142731,424278.8421052632,402376.28571428574,19,7
36659843,FLIGHT,1970-01-01 00:25:18.319859338,1970-01-01 00:25:18.322124195,1970-01-01 00:25:44.593385177,1970-01-01 00:25:44.596054890,1094109.0909090908,1098682.4,11,5
32379255,FLIGHT,1970-01-01 00:25:24.790162398,1970-01-01 00:25:24.791164790,1970-01-01 00:25:46.852275670,1970-01-01 00:25:46.854142197,417344.94676277775,419648.77843166655,9,6
92902593,HOTEL,1970-01-01 00:25:43.284004477,1970-01-01 00:25:43.287582319,1970-01-01 00:25:43.284004477,1970-01-01 00:25:43.287582319,142264.0,142264.0,1,1
24376663,FLIGHT,1970-01-01 00:25:11.255080730,1970-01-01 00:25:11.255269166,1970-01-01 00:25:11.255285633,1970-01-01 00:25:11.255406871,1211614.164618,1211614.164618,2,2
91835433,TRAIN,1970-01-01 00:25:42.707861000,,1970-01-01 00:25:42.707861000,,249864.0,,1,0
16611673,FLIGHT,1970-01-01 00:25:20.526624019,,1970-01-01 00:25:20.526624019,,999539.0,,1,0
24482731,FLIGHT,1970-01-01 00:25:11.514594602,1970-01-01 00:25:11.516797578,1970-01-01 00:25:11.747190095,1970-01-01 00:25:11.747307073,1980943.931472,1148452.348296,6,3
19194145,HOTEL,1970-01-01 00:25:04.703420662,1970-01-01 00:25:04.704123644,1970-01-01 00:25:15.819849736,1970-01-01 00:25:15.819920018,796057.0,796057.0,8,8
95151426,TRAIN,1970-01-01 00:25:44.358066000,1970-01-01 00:25:44.413595000,1970-01-01 00:25:47.899992000,1970-01-01 00:25:46.915865000,79696.5,69762.0,8,3
18371249,HOTEL,1970-01-01 00:24:55.833646274,1970-01-01 00:24:55.850035264,1970-01-01 00:25:48.734947476,1970-01-01 00:25:48.735190385,357104.44736842107,405975.5652173913,38,23
11123756,FLIGHT,1970-01-01 00:24:29.923847989,1970-01-01 00:24:29.926282070,1970-01-01 00:24:47.484068858,1970-01-01 00:24:46.873581820,618780.5454545454,476883.28571428574,11,7
95857652,FLIGHT,1970-01-01 00:25:48.641607130,1970-01-01 00:25:48.645862653,1970-01-01 00:25:48.641607130,1970-01-01 00:25:48.645862653,533449.0,533449.0,1,1
19046157,TRAIN,1970-01-01 00:25:03.734176000,1970-01-01 00:25:03.739099000,1970-01-01 00:25:36.069962000,1970-01-01 00:25:20.667820000,230014.512195122,284146.4,41,5
24173742,FLIGHT,1970-01-01 00:25:30.018082564,,1970-01-01 00:25:43.393158539,,1150821.0,,6,0
31433420,FLIGHT,1970-01-01 00:25:22.209952187,1970-01-01 00:25:22.219850424,1970-01-01 00:25:22.807913739,1970-01-01 00:25:22.809749399,1004629.1289,1004629.1289,3,3
7681419,FLIGHT,1970-01-01 00:24:11.765794305,1970-01-01 00:24:11.766106318,1970-01-01 00:24:11.765794305,1970-01-01 00:24:11.766106318,449659.0,449659.0,1,1
98044366,HOTEL,1970-01-01 00:25:45.788023623,1970-01-01 00:25:45.788916666,1970-01-01 00:25:47.994034884,1970-01-01 00:25:47.994295003,875753.6666666665,875753.6666666665,3,3
23077795,FLIGHT,1970-01-01 00:25:08.007391175,1970-01-01 00:25:08.007914373,1970-01-01 00:25:08.007391175,1970-01-01 00:25:08.007914373,888326.0761200001,888326.0761200001,1,1
3958948,TRAIN,1970-01-01 00:24:47.522545000,1970-01-01 00:25:09.436436029,1970-01-01 00:25:17.387776000,1970-01-01 00:25:17.388226000,166268.75,169529.33333333334,8,3
35418157,HOTEL,1970-01-01 00:25:16.770158671,1970-01-01 00:25:16.861597681,1970-01-01 00:25:44.243948096,1970-01-01 00:25:44.244067665,417917.125,420322.0,8,2
47083330,FLIGHT,1970-01-01 00:25:25.248388682,1970-01-01 00:25:25.249638009,1970-01-01 00:25:26.184639950,1970-01-01 00:25:26.184923780,547735.0,547735.0,4,4
43866223,HOTEL,1970-01-01 00:25:38.651958733,,1970-01-01 00:25:38.651958733,,729396.0,,1,0
22247758,FLIGHT,1970-01-01 00:25:07.043980699,1970-01-01 00:25:07.044259166,1970-01-01 00:25:07.043980699,1970-01-01 00:25:07.044259166,617811.30629,617811.30629,1,1
15079863,HOTEL,1970-01-01 00:24:46.008038034,1970-01-01 00:24:46.009546292,1970-01-01 00:25:45.890949173,1970-01-01 00:25:45.892172651,320328.037037037,310933.14285714284,27,14
24448327,FLIGHT,1970-01-01 00:25:11.745931715,1970-01-01 00:25:11.747741077,1970-01-01 00:25:42.974818141,1970-01-01 00:25:42.975795798,1166050.64,1226305.681818182,25,22
11493342,HOTEL,1970-01-01 00:24:32.526022789,1970-01-01 00:24:32.529241617,1970-01-01 00:25:48.991272868,1970-01-01 00:25:48.723947338,827698.3111111111,820738.9166666665,45,12
8600871,FLIGHT,1970-01-01 00:24:25.095249201,1970-01-01 00:24:25.098993121,1970-01-01 00:24:49.671090569,1970-01-01 00:24:49.673356827,484304.0909090909,532102.8333333334,11,6
16607847,HOTEL,1970-01-01 00:25:33.477411115,1970-01-01 00:25:33.478170791,1970-01-01 00:25:33.734338921,1970-01-01 00:25:33.735872958,427761.0,427761.0,2,2
12057936,FLIGHT,1970-01-01 00:24:52.231273317,1970-01-01 00:24:52.233504849,1970-01-01 00:24:53.211047274,1970-01-01 00:24:53.211194344,1088572.1666666667,1088572.1666666667,6,6
3372405,HOTEL,1970-01-01 00:23:46.923991484,1970-01-01 00:24:01.228007776,1970-01-01 00:25:45.130508881,1970-01-01 00:25:45.130603182,709109.3545454545,655472.7555555556,110,45
456371,TRAIN,1970-01-01 00:25:10.553935000,1970-01-01 00:25:10.554491000,1970-01-01 00:25:46.415054000,1970-01-01 00:25:46.415200000,229279.46,161798.35135135136,50,37
23293758,TRAIN,1970-01-01 00:25:08.543389000,1970-01-01 00:25:08.543887000,1970-01-01 00:25:08.543389000,1970-01-01 00:25:08.543887000,456621.0,456621.0,1,1
4474077,FLIGHT,1970-01-01 00:23:39.164747482,1970-01-01 00:23:39.165519120,1970-01-01 00:25:46.379925985,1970-01-01 00:25:46.380086982,1383689.0416666667,1404417.25,24,20
73184856,TRAIN,1970-01-01 00:25:45.117679000,1970-01-01 00:25:45.119283000,1970-01-01 00:25:45.117679000,1970-01-01 00:25:45.119283000,200377.0,200377.0,1,1
9380815,FLIGHT,1970-01-01 00:24:22.802509011,1970-01-01 00:24:22.802871988,1970-01-01 00:25:48.983715750,1970-01-01 00:25:46.498174538,1121971.6538461538,1163686.875,26,8
23189505,FLIGHT,1970-01-01 00:25:08.297667770,,1970-01-01 00:25:08.297667770,,376116.0,,1,0
88422010,FLIGHT,1970-01-01 00:25:41.039678751,1970-01-01 00:25:41.042609990,1970-01-01 00:25:41.647579463,1970-01-01 00:25:41.649765367,444592.2718466667,446520.961835,3,2
13896957,HOTEL,1970-01-01 00:24:41.977736670,1970-01-01 00:25:30.702881376,1970-01-01 00:25:45.126444427,1970-01-01 00:25:45.126740665,917930.0,703297.3333333334,13,3
86377836,HOTEL,1970-01-01 00:25:39.929148019,,1970-01-01 00:25:39.930753711,,345073.76046,,4,0
7788584,FLIGHT,1970-01-01 00:24:12.622527700,1970-01-01 00:24:12.622747833,1970-01-01 00:24:53.316468192,1970-01-01 00:24:53.316857692,940379.4285714285,940379.4285714285,7,7
14060758,FLIGHT,1970-01-01 00:24:48.995320711,1970-01-01 00:24:48.995611024,1970-01-01 00:25:11.053077318,1970-01-01 00:25:11.053253562,576633.2,678114.75,10,4
11462902,FLIGHT,1970-01-01 00:24:31.352073953,,1970-01-01 00:24:31.352073953,,910492.51369,,1,0
17759593,HOTEL,1970-01-01 00:24:58.577421377,1970-01-01 00:24:58.579548965,1970-01-01 00:24:58.579129336,1970-01-01 00:24:58.579548965,649611.0,615048.0,2,1
9288983,FLIGHT,1970-01-01 00:24:22.344408159,1970-01-01 00:24:22.345036512,1970-01-01 00:24:22.344408159,1970-01-01 00:24:22.345036512,763713.0,763713.0,1,1
13366036,FLIGHT,1970-01-01 00:24:48.427795968,1970-01-01 00:24:48.429329841,1970-01-01 00:25:42.873045149,1970-01-01 00:25:42.880527296,1757301.014084507,1980389.6785714289,71,28
5169332,FLIGHT,1970-01-01 00:23:47.544483811,1970-01-01 00:23:47.544931251,1970-01-01 00:25:47.848290627,1970-01-01 00:25:46.946136807,1071265.1333333335,1127287.0,60,50
9310108,FLIGHT,1970-01-01 00:25:01.635374971,1970-01-01 00:25:01.637336353,1970-01-01 00:25:48.421066975,1970-01-01 00:25:48.421224119,1035008.625,1069522.8461538462,16,13
83045058,HOTEL,1970-01-01 00:25:38.139679821,,1970-01-01 00:25:38.139679821,,484493.0,,1,0
6458831,HOTEL,1970-01-01 00:24:49.049204553,1970-01-01 00:24:49.049736787,1970-01-01 00:25:47.877023176,1970-01-01 00:25:47.877193633,586316.55,555479.25,20,12
10429441,HOTEL,1970-01-01 00:24:43.004552847,,1970-01-01 00:24:45.672006237,,211022.2790255,,2,0
9293346,FLIGHT,1970-01-01 00:24:46.734996464,1970-01-01 00:24:46.735330021,1970-01-01 00:24:46.734996464,1970-01-01 00:24:46.735330021,5356165.0,5356165.0,1,1
20779403,FLIGHT,1970-01-01 00:25:09.107077500,1970-01-01 00:25:09.108145183,1970-01-01 00:25:43.638974066,1970-01-01 00:25:43.641704577,4534840.111111112,3485420.5454545454,27,11
86482284,HOTEL,1970-01-01 00:25:40.389568066,1970-01-01 00:25:40.389720975,1970-01-01 00:25:40.389568066,1970-01-01 00:25:40.389720975,301500.54360000003,301500.54360000003,1,1
35243744,FLIGHT,1970-01-01 00:25:17.813428094,1970-01-01 00:25:18.571113532,1970-01-01 00:25:41.053347641,1970-01-01 00:25:34.936160956,1265953.5666561157,1288220.2784448,26,5
13397817,HOTEL,1970-01-01 00:25:06.660686672,1970-01-01 00:25:06.661188373,1970-01-01 00:25:23.679316259,1970-01-01 00:25:06.661188373,446619.0,374299.0,3,1
11508333,FLIGHT,1970-01-01 00:24:31.575935937,,1970-01-01 00:24:31.576634492,,741525.5,,2,0
86998319,HOTEL,1970-01-01 00:25:40.293462049,,1970-01-01 00:25:40.293462049,,400802.0,,1,0
16008356,HOTEL,1970-01-01 00:25:06.941728262,1970-01-01 00:25:12.109162671,1970-01-01 00:25:47.653007030,1970-01-01 00:25:36.741467257,249660.0,242121.3333333333,19,9
39938565,FLIGHT,1970-01-01 00:25:19.115041926,1970-01-01 00:25:19.115731189,1970-01-01 00:25:19.115041926,1970-01-01 00:25:19.115731189,1354352.194,1354352.194,1,1
6313747,TRAIN,1970-01-01 00:24:54.371129000,1970-01-01 00:24:54.372366000,1970-01-01 00:25:43.487222000,1970-01-01 00:25:43.488109000,627057.8181818182,624857.125,22,8
16441542,FLIGHT,1970-01-01 00:24:59.303937953,1970-01-01 00:24:59.304493130,1970-01-01 00:24:59.317935376,1970-01-01 00:24:59.321006391,6081965.0,6197163.5,3,2
6210975,HOTEL,1970-01-01 00:23:57.584210734,1970-01-01 00:24:22.611854689,1970-01-01 00:24:45.837614150,1970-01-01 00:24:45.838709730,459807.0,331318.5,8,4
7711115,TRIP,1970-01-01 00:25:17.750051000,,1970-01-01 00:25:17.750051000,,3498588.0,,1,0
12115089,FLIGHT,1970-01-01 00:25:05.223315511,1970-01-01 00:25:05.223615429,1970-01-01 00:25:05.223315511,1970-01-01 00:25:05.223615429,518969.0,518969.0,1,1
5495102,FLIGHT,1970-01-01 00:24:29.934614809,1970-01-01 00:24:29.935994460,1970-01-01 00:25:10.114450297,1970-01-01 00:25:10.114911834,1500722.7,1467077.875,10,8
75803098,HOTEL,1970-01-01 00:25:43.981161593,1970-01-01 00:25:46.004550743,1970-01-01 00:25:48.048754940,1970-01-01 00:25:48.048893871,337847.33333333326,275742.33333333326,12,3
8477643,FLIGHT,1970-01-01 00:24:17.650631347,1970-01-01 00:24:17.699498490,1970-01-01 00:24:17.699698002,1970-01-01 00:24:17.699806823,439310.25,438956.5,4,2
24287180,FLIGHT,1970-01-01 00:25:11.017013719,1970-01-01 00:25:12.107528341,1970-01-01 00:25:13.313075290,1970-01-01 00:25:13.317512519,1477464.101956,1797278.987166,3,2
21215793,FLIGHT,1970-01-01 00:25:03.199876018,1970-01-01 00:25:03.224722244,1970-01-01 00:25:33.645694030,1970-01-01 00:25:33.091086327,1310166.2457791667,1232248.0014285713,24,7
21407138,FLIGHT,1970-01-01 00:25:33.279764228,1970-01-01 00:25:33.287462572,1970-01-01 00:25:46.848109181,1970-01-01 00:25:46.849442832,585080.0,624675.0,5,4
3575872,HOTEL,1970-01-01 00:24:26.480393686,1970-01-01 00:24:26.516850051,1970-01-01 00:25:25.075810536,1970-01-01 00:25:21.975475324,369056.125,293367.6666666667,24,9
66623685,HOTEL,1970-01-01 00:25:30.204890318,,1970-01-01 00:25:30.302621968,,806335.0,,2,0
12373345,HOTEL,1970-01-01 00:24:35.657118003,1970-01-01 00:24:35.663062599,1970-01-01 00:24:35.662664544,1970-01-01 00:24:35.663062599,475872.0,553537.0,2,1
9090181,HOTEL,1970-01-01 00:24:21.421933300,,1970-01-01 00:24:21.422285262,,11567325.5,,2,0
19306058,FLIGHT,1970-01-01 00:24:58.262481247,1970-01-01 00:24:58.274591209,1970-01-01 00:24:58.274196287,1970-01-01 00:24:58.274591209,958562.5,958946.0,2,1
589825,HOTEL,1970-01-01 00:24:02.893285036,1970-01-01 00:24:10.270820960,1970-01-01 00:24:38.182378961,1970-01-01 00:24:38.182537798,1680855.5,1714585.5,8,2
2109945,TRAIN,1970-01-01 00:24:54.910577000,1970-01-01 00:24:54.910906000,1970-01-01 00:25:09.859469000,1970-01-01 00:25:09.859578000,463412.2,463412.2,5,5
227715,FLIGHT,1970-01-01 00:23:08.196449161,1970-01-01 00:24:26.304125278,1970-01-01 00:25:48.765731130,1970-01-01 00:25:48.765895455,1685031.6088888887,1971768.5588235292,225,34
6146058,FLIGHT,1970-01-01 00:24:12.483105948,1970-01-01 00:24:12.483575712,1970-01-01 00:24:42.829497325,1970-01-01 00:24:12.483575712,1265051.0,414928.0,2,1
12646081,HOTEL,1970-01-01 00:24:36.922057318,1970-01-01 00:24:37.536770111,1970-01-01 00:24:46.180612838,1970-01-01 00:24:38.919663661,310600.83333333326,274873.0,12,2
233139,FLIGHT,1970-01-01 00:23:08.238389176,1970-01-01 00:23:08.239655756,1970-01-01 00:25:29.748617418,1970-01-01 00:25:29.749312106,2383930.761904762,1666599.066666667,21,15
4896092,FLIGHT,1970-01-01 00:23:44.319374563,1970-01-01 00:23:46.740244360,1970-01-01 00:25:47.283664947,1970-01-01 00:25:47.283867244,801413.0375,798526.1,80,40
17732350,FLIGHT,1970-01-01 00:24:54.072854876,,1970-01-01 00:24:54.073870632,,942850.425,,2,0
13727139,TRAIN,1970-01-01 00:24:47.002805101,1970-01-01 00:24:47.002805101,1970-01-01 00:24:47.002805101,1970-01-01 00:24:47.002805101,56505.0,56505.0,1,1
17915322,HOTEL,1970-01-01 00:25:26.446191560,1970-01-01 00:25:29.150102882,1970-01-01 00:25:29.149658967,1970-01-01 00:25:29.150102882,300024.6666666667,227468.0,3,1
43982346,HOTEL,1970-01-01 00:25:20.859308800,,1970-01-01 00:25:20.859308800,,1045096.0,,1,0
43481352,FLIGHT,1970-01-01 00:25:20.646279528,1970-01-01 00:25:20.647669181,1970-01-01 00:25:45.061579860,1970-01-01 00:25:45.061689232,858617.4723358,858617.4723358,5,5
18557986,HOTEL,1970-01-01 00:24:59.416681147,1970-01-01 00:25:01.825106083,1970-01-01 00:25:43.797305100,1970-01-01 00:25:43.798532284,487387.7142857143,395004.75,7,4
52391052,HOTEL,1970-01-01 00:25:31.507885642,1970-01-01 00:25:31.509540186,1970-01-01 00:25:31.508467160,1970-01-01 00:25:31.509540186,1648232.645517,1539683.021034,2,1
17927964,HOTEL,1970-01-01 00:24:54.598331976,1970-01-01 00:24:54.626354433,1970-01-01 00:25:46.583659019,1970-01-01 00:25:46.584156152,278070.6923076923,273013.75,13,8
47490437,HOTEL,1970-01-01 00:25:36.673147173,,1970-01-01 00:25:36.673147173,,1214105.6952000002,,1,0
15042712,HOTEL,1970-01-01 00:24:45.879151627,,1970-01-01 00:24:45.955630455,,465667.11033333326,,3,0
9962552,HOTEL,1970-01-01 00:24:45.183960758,,1970-01-01 00:24:45.460669284,,380673.02971375,,4,0
73595781,FLIGHT,1970-01-01 00:25:45.479291929,1970-01-01 00:25:45.479411035,1970-01-01 00:25:46.316762593,1970-01-01 00:25:45.479411035,736521.0,791042.0,2,1
29933966,FLIGHT,1970-01-01 00:25:14.269912032,1970-01-01 00:25:14.793671325,1970-01-01 00:25:21.087880854,1970-01-01 00:25:21.089911574,543969.5200315,565523.0261329999,12,7
5781662,TRAIN,1970-01-01 00:24:50.510050000,1970-01-01 00:24:50.512132000,1970-01-01 00:24:50.511459000,1970-01-01 00:24:50.512132000,549648.5,529456.0,2,1
11549533,HOTEL,1970-01-01 00:24:31.770657716,1970-01-01 00:24:31.771582868,1970-01-01 00:25:39.229231244,1970-01-01 00:25:39.229535139,485048.109615,475993.34950166655,10,6
19101917,TRAIN,1970-01-01 00:25:06.908086000,1970-01-01 00:25:06.908842000,1970-01-01 00:25:17.977313000,1970-01-01 00:25:17.977735000,147884.5,147884.5,2,2
3305350,HOTEL,1970-01-01 00:24:08.079294638,,1970-01-01 00:24:10.423961917,,1433778.8,,10,0
10526979,TRAIN,1970-01-01 00:25:20.904964000,,1970-01-01 00:25:20.904964000,,112025.0,,1,0
17128252,TRAIN,1970-01-01 00:25:08.411557000,1970-01-01 00:25:08.412426000,1970-01-01 00:25:08.411557000,1970-01-01 00:25:08.412426000,89554.0,89554.0,1,1
6851605,TRAIN,1970-01-01 00:24:50.805324000,1970-01-01 00:24:50.806001000,1970-01-01 00:25:31.987927000,1970-01-01 00:25:31.988566000,516099.17647058825,557057.25,17,8
11979892,FLIGHT,1970-01-01 00:24:33.740777432,1970-01-01 00:24:33.745464748,1970-01-01 00:24:40.907682708,1970-01-01 00:24:40.908036764,544057.6,658433.6666666665,5,3
54726821,FLIGHT,1970-01-01 00:25:25.340878969,1970-01-01 00:25:25.747446053,1970-01-01 00:25:46.568159760,1970-01-01 00:25:37.158556202,5659582.123257778,4433395.2856,9,2
95761497,FLIGHT,1970-01-01 00:25:44.631723151,,1970-01-01 00:25:44.631723151,,2072074.4024000005,,1,0
10132535,HOTEL,1970-01-01 00:24:26.174997691,1970-01-01 00:24:26.175386225,1970-01-01 00:24:26.174997691,1970-01-01 00:24:26.175386225,316984.5375,316984.5375,1,1
8785408,TRAIN,1970-01-01 00:24:51.145559000,,1970-01-01 00:24:51.192344000,,232190.0,,2,0
